centro_nro_registro,centro_tipo,dependecia_funcional,dependecia_patrimonial,oferta_asistecial,municipio_nombre,direccion_vial_tipo,direccion_vial_nombre,direccion_vial_nro,direccion_informacon_adicional,direccion_codigo_postal,localizacion_coordenada_x,localizacion_coordenada_y,latitud,longitud
CH0023,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Otorrinolaringología,Madrid,AVDA,de Córdoba,S/N,,28041,440837,4469773,40.37644140945878,-3.6969416552816066
CH0024,Hospital general,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Otorrinolaringología,Madrid,CALLE,del Doctor Esquerdo,83,,28007,443291,4474370,40.418024395553665,-3.6684448134009586
CH0025,Otros centros con internamiento,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Radiodiagnóstico,Madrid,CTRA,de Colmenar Viejo,"K.14,500",,28049,,,,
CH0026,Otros centros con internamiento,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Neurología,Madrid,AVDA,de la Reina Victoria,22-26,,28003,440019,4477644,40.447288626618736,-3.7073190538907723
CH0029,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina interna,Madrid,CALLE,de Diego de León,62,,28006,442689,4476189,40.434369633975,-3.675704258471132
CH0030,Otros centros con internamiento,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Análisis clínicos,Madrid,CALLE,de San Bernabé,13,,28005,439426,4473404,40.40904987335453,-3.7139074236674317
CH0031,Hospital general,Privado No Benéfico,Privados,Neurocirugía,Madrid,PLAZA,del Conde del Valle de Súchil,16,,28015,440050,4475873,40.43133693345947,-3.706786414270918
CH0034,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Oncología,Madrid,CALLE,del Doctor Esquerdo,46,,28007,443166,4474478,40.418988789557076,-3.669927778483838
CH0037,Hospital especializado,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Otorrinolaringología,Madrid,AVDA,de Menéndez Pelayo,65,,28009,442574,4473916,40.41388535724597,-3.6768547511261085
CH0038,Hospital de media y larga estancia,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Radiodiagnóstico,Madrid,CALLE,del Pinar de San José,98,,28054,434227,4468202,40.361793761134585,-3.774639159670027
CH0039,Hospital general,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,de La Maso,38,,28034,439378,4482327,40.489428320158204,-3.7153248834747292
CH0041,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Radioterapia,Madrid,PASEO,de la Castellana,261,,28046,441826,4481289,40.48025277070454,-3.686345830621192
CH0046,Hospital de salud mental y tratamiento de toxicomanías,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Hospital de día,Madrid,CTRA,de Colmenar Viejo,"K.13,8",,28049,441708,4486097,40.523556730087016,-3.6881804151282425
CH0049,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Ginecología,Madrid,CTRA,de Colmenar Viejo,"KM.9,1",,28034,440939,4482100,40.48749595136085,-3.6968856198752387
CH0050,Hospital general,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Obstetricia,Madrid,CALLE,de Serrano,199,,28016,442214,4478184,40.452308669253675,-3.6814856767605963
CH0051,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Cirugía general y digestivo,Madrid,CALLE,del Maestro Vives,2,,28009,443051,4474784,40.421737536648244,-3.6713106480216533
CH0053,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Radiodiagnóstico,Madrid,CALLE,del Profesor Martín Lagos,s/n,,28040,438983,4476839,40.439961472565955,-3.7194577348364835
CH0054,Hospital de media y larga estancia,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina del trabajo,Madrid,CALLE,del Puerto de Lumbreras,5,,28031,447452,4470239,40.3810828054668,-3.619059792731259
CH0057,Hospital de salud mental y tratamiento de toxicomanías,Privado No Benéfico,Privados,Medicina interna,Madrid,CALLE,del Doctor Juan José López Ibor,2,,28035,438579,4480017,40.46856033618437,-3.7245284269638343
CH0059,Hospital especializado,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Hospital de día,Madrid,CALLE,de Francisco Silvela,40,,28028,442942,4476050,40.43313484719428,-3.6727090713581925
CH0061,Hospital de salud mental y tratamiento de toxicomanías,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Psiquiatría,Madrid,CALLE,de López de Hoyos,259,,28043,443891,4478682,40.456909795623226,-3.6617536516492315
CH0062,Hospital de salud mental y tratamiento de toxicomanías,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Psiquiatría,Madrid,CALLE,de Arturo Soria,204,,28043,444020,4479032,40.46007146580629,-3.6602631791480036
CH0063,Hospital de salud mental y tratamiento de toxicomanías,Privado No Benéfico,Privados,Obtención de muestras,Madrid,AVDA,de los Poblados,70,,28044,435530,4470436,40.38202035464048,-3.759520329970544
CH0064,Hospital general,Privado No Benéfico,Privados,Litotricia renal,Madrid,CALLE,de Modesto Lafuente,14,,28010,440959,4476494,40.43699620390803,-3.696128116483205
CH0065,Hospital de salud mental y tratamiento de toxicomanías,Privado No Benéfico,Privados,Depósito de medicamentos,Madrid,PLAZA,de Mariano de Cavia,3,,28007,442457,4473239,40.407778502341046,-3.6781724605434216
CH0068,Hospital general,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Oncología,Madrid,CALLE,del Príncipe de Vergara,53,,28006,442329,4475934,40.432047584151064,-3.6799252846436126
CH0069,Hospital general,Privado No Benéfico,Privados,Medicina interna,Madrid,CALLE,de Honduras,14,,28016,442467,4478980,40.459496952441036,-3.678574317757653
CH0070,Hospital general,Privado Benéfico (Iglesia),Privado Benéfico/Iglesia,Neurología,Madrid,CALLE,de Joaquín Costa,28,,28002,442034,4477128,40.44278320029814,-3.683511940572791
CH0071,Hospital general,Privado No Benéfico,Privados,Anestesia y Reanimación,Madrid,CALLE,de Cartagena,111,,28002,442778,4476871,40.440519554846034,-3.67471642184932
CH0072,Hospital de media y larga estancia,Privado No Benéfico,Privados,Enfermería,Madrid,CTRA,de Colmenar Viejo,KM.16,,28049,440868,4488038,40.540982359642456,-3.6982780328768254
CH0076,Otros centros con internamiento,Privado No Benéfico,Privados,Planificación familiar,Madrid,CALLE,de los Pirineos,7,,28040,439257,4478748,40.45717856255436,-3.716409802877289
CH0077,Hospital general,Privado No Benéfico,Privados,Reumatología,Madrid,AVDA,de Valladolid,83,,28008,437752,4476091,40.43313196486589,-3.733898191893024
CH0079,Hospital general,Privado No Benéfico,Privados,Cirugía general y digestivo,Madrid,AVDA,del Ventisquero de la Condesa,42,,28035,439247,4482814,40.49380579891123,-3.7169172253347074
CH0083,Hospital especializado,Privado No Benéfico,Privados,Urgencias,Madrid,CALLE,de Gómez Hemans,2,,28033,443492,4480206,40.47061166596374,-3.66659489283675
CH0089,Hospital general,Privado No Benéfico,Privados,Geriatría,Madrid,AVDA,de Francisco Pi y Margall,81,,28050,443855,4482604,40.49223853868846,-3.6625253971191385
CH0092,Hospital general,Privado No Benéfico,Privados,Oncología,Madrid,CALLE,de La Salle,12,,28023,433613,4479819,40.46639469167039,-3.783082157902205
CH0093,Hospital general,Privado No Benéfico,Privados,Medicina intensiva,Madrid,CALLE,de Ońa,10,,28050,443533,4482283,40.489324990393456,-3.666296234540363
CH0094,Hospital de media y larga estancia,Privado No Benéfico,Privados,Geriatría,Madrid,CALLE,del Concejal Francisco José Jiménez Martín,128,,28047,436624,4472494,40.400643620799684,-3.7468377606047785
CH0101,Hospital general,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Endocrinología,Madrid,AVDA,de la Gran Vía del Este,80,,28031,447526,4470725,40.385465686838224,-3.6182280840403442
CH0110,Hospital general,Privado No Benéfico,Privados,Terapia ocupacional,Madrid,CALLE,del Marquesado de Santa Marta,1,,28022,446969,4477663,40.447932189737635,-3.6253684987313592
CH0113,Hospital especializado,Mutua de Accidentes de Trabajo,Mútua Patronal,Enfermería,Madrid,PASEO,de la Habana,83,,28036,442228,4478721,40.457147182505054,-3.68136944759563
CH0115,Otros centros con internamiento,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Depósito de medicamentos,Madrid,AVDA,de Manuel Fraga Iribarne,2,,28055,448407,4482138,40.48833599674032,-3.608775698067714
CH0118,Hospital de media y larga estancia,Privado No Benéfico,Privados,Terapia ocupacional,Madrid,CALLE,de las Cerilleras,7,A,28054,438237,4469300,40.37199176512828,-3.7275216008667256
CH0119,Hospital general,Privado No Benéfico,Privados,Anestesia y Reanimación,Madrid,CALLE,de Cobos de Segovia,4,,28005,438947,4473183,40.40702401234387,-3.7195311541248572
CS0001,Centro de reproducción humana asistida,Privado No Benéfico,Privados,Anestesia y Reanimación,Madrid,CALLE,de Joaquín María López,44,BAJO,28015,439447,4476593,40.43777931993479,-3.713963623357911
CS0011,Centro de reconocimiento,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Francisco Silvela,54 ,DPDO.1şA,28028,442816,4476257,40.43499095350079,-3.6742131288295075
CS0018,Centro de interrupción voluntaria del embarazo,Privado No Benéfico,Privados,Obstetricia,Madrid,CALLE,de Alonso Saavedra,29,,28033,,,,
CS0020,Centro de interrupción voluntaria del embarazo,Privado No Benéfico,Privados,Urología,Madrid,CALLE,de Toledo,135,DUPLICADO,28005,439586,4472972,40.40516984143641,-3.711980838338509
CS0024,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Alcalde Sáinz de Baranda,16,1ş-B IZQUIERDA,28009,442588,4474239,40.416796076557844,-3.6767189016114554
CS0027,Centro de diálisis,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,del Avefría,35-37,,28025,437798,4470548,40.38320169755455,-3.732814091131835
CS0030,Centro de diálisis,Privado No Benéfico,Privados,Enfermería,Madrid,CALLE,de Boix y Morer,9,LOCAL,28003,440078,4476862,40.44024829428859,-3.706549586042681
CS0035,Centro de diagnóstico,Privado No Benéfico,Privados,Asistencia a lesionados y contaminados por elementos radiactivos y radiaciones ionizantes,Madrid,CALLE,de Bailén,15,5ş IZDA.,28013,439537,4474613,40.419949167886784,-3.712714214138408
CS0036,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,Caídos de la División Azul,20,BAJO A,28016,442912,4479761,40.46656324760595,-3.6733963567535537
CS0037,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina general/de familia,Madrid,CALLE,de las Calesas,12,,28026,440110,4471276,40.38992928863318,-3.705646397264965
CS0038,Otros centros especializados,Mutua de Accidentes de Trabajo,Mútua Patronal,Obtención de muestras,Madrid,CALLE,del Capitán Haya,39,,28020,441312,4479046,40.46001073880179,-3.6922021608562727
CS0044,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PASEO,de los Castellanos,5,BAJO,28025,436478,4469895,40.37721959838637,-3.7482989369907447
CS0045,Consulta médica,Privado No Benéfico,Privados,Alergología,Madrid,CALLE,de Castelló,42,3ş -IZQDA,28001,442210,4475323,40.42653513475406,-3.6812726222989527
CS0048,Consulta médica,Privado No Benéfico,Privados,Terapias no convencionales,Madrid,CALLE,del Corregidor Alonso de Tobar,4,Bajo Local,28030,444962,4472688,40.40298415112807,-3.6486039936266943
CS0050,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,PASEO,de las Delicias,83 ,ESC.IZQDA 6şD ,28045,441086,4472005,40.3965661031773,-3.6942150469205735
CS0052,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Doctor Esquerdo,29,BAJO D,28028,443303,4475175,40.425277080112664,-3.6683751458539238
CS0058,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PASEO,de Extremadura,127,BAJO,28011,437494,4473578,40.41047451251778,-3.7366927448587077
CS0059,Centro de diálisis,Privado No Benéfico,Privados,Diálisis,Madrid,CALLE,de Fermín Caballero,87,,28035,439057,4481183,40.479099279599225,-3.719002346150589
CS0060,Centro de diagnóstico,Privado No Benéfico,Privados,Radiodiagnóstico,Madrid,CALLE,de Fernán González,66,PLANTA BAJA,28009,442750,4474310,40.417446841921546,-3.6748159134456713
CS0062,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Francisco Gervas,17,2ş-C,28020,441082,4479145,40.46088629637047,-3.6949239225886616
CS0069,Centro Polivalente,Privado No Benéfico,Privados,Cirugía plástica y reparadora,Madrid,CUSTA,del Sagrado Corazón,4,,28016,443138,4479703,40.466056256519714,-3.670725490918775
CS0075,Otros centros especializados,Privado No Benéfico,Privados,Psiquiatría,Madrid,PASEO,de la Habana,206,BAJO 5,28016,442403,4479603,40.46510478097377,-3.679385657913197
CS0078,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,AVDA,de Hellín,19,"TORRE-34, LOCAL",28037,447796,4475681,40.430129496723325,-3.6154537860957663
CS0088,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Violín,7,1ş B,28033,443654,4481370,40.48110850917086,-3.6647874028963097
CS0090,Centro Polivalente,Privado No Benéfico,Privados,Medicina estética,Madrid,CALLE,de Jesús del Pino,32,LOCAL 2,28031,447019,4470331,40.38188418446993,-3.6241682618143614
CS0096,Consulta de otros profesionales sanitarios,Privado No Benéfico,Privados,Podología,Madrid,CALLE,de Juan Ramón Jiménez,2,BAJO PUERTA 9,28036,441772,4478680,40.45674601133851,-3.6867434368617125
CS0097,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de José Ortega y Gasset,65,2ş IZQUIERDA,28006,442822,4475708,40.430045698054954,-3.674093003206579
CS0098,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de La del Manojo de Rosas,64,,28041,440762,4467501,40.35596862949616,-3.6976140417219323
CS0109,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Ocańa,124,BAJO 2,28047,436175,4471110,40.38814168808178,-3.7519897375757525
CS0112,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Enfermería obstétrico-ginecológica (matrona),Madrid,AVDA,Orovilla,53,,28041,441481,4467789,40.35861386369478,-3.6891737665276376
CS0114,Centro Polivalente,Privado No Benéfico,Privados,Obstetricia,Madrid,CALLE,del Príncipe de Vergara,134,LOCAL,28002,442487,4477219,40.443634429717534,-3.678178940591329
CS0120,Consulta médica,Privado No Benéfico,Privados,Oftalmología,Madrid,CALLE,de Rodríguez San Pedro,10,BAJO IZDA.,28015,439956,4475913,40.43169049090213,-3.7078983349593155
CS0124,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Santa Engracia,130,1ş DERECHA.,28003,440496,4477082,40.44226016718603,-3.701641840705756
CS0125,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Santa Engracia,93,1şC,28010,440664,4476426,40.4363626338367,-3.699599745067126
CS0129,Consulta médica,Privado No Benéfico,Privados,Otorrinolaringología,Madrid,CALLE,de Serrano,63,3ş-DCHA.,28006,441731,4475993,40.432537407224316,-3.6869804714361734
CS0130,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PLAZA,de Sisenando,2,LOCAL,28011,437585,4473348,40.408409404290545,-3.7355977470348884
CS0132,Consulta médica,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,de Teresita González Quevedo,4,LOCAL,28020,440934,4478565,40.455650905559516,-3.696615455401415
CS0137,Centro Polivalente,Privado No Benéfico,Privados,Podología,Madrid,CALLE,Vía Carpetana,147,1ş-D,28025,437036,4471531,40.39199976058508,-3.7418878163901366
CS0138,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,Vía Carpetana,147,1ş A,28047,437036,4471531,40.39199976058508,-3.7418878163901366
CS0140,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Villajimena,43,BAJO B,28032,448339,4473185,40.40767783454861,-3.6088497465822904
CS0142,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Viriato,24,"Locales, 2 y 3",28010,440537,4476364,40.43579503937284,-3.7010912278925154
CS0143,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Zurbano,71,1ş APTO.16,28010,441216,4476518,40.43723061275407,-3.69310036632943
CS0144,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Medicina estética,Madrid,CALLE,de Juan Montalvo,8 ,SEMISÓT BJO  1ş,28040,439812,4477710,40.44786822083732,-3.709766154944487
CS0245,Centro Polivalente,Privado No Benéfico,Privados,Obstetricia,Madrid,CALLE,de Alberto Aguilera,27,BAJO,28015,439529,4475739,40.4300920905489,-3.712915597956803
CS0247,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Alcalá,183,2ş B,28009,443092,4475394,40.427235539729985,-3.670881969828008
CS0249,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Ainsa,31,1ş-B,28022,448178,4475949,40.43256769179777,-3.6109723295165357
CS0253,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Caunedo,30,BAJO-A,28037,,,,
CS0257,Consulta médica,Privado No Benéfico,Privados,Medicina estética,Madrid,CALLE,de Alfonso X,3,1şC,28010,441287,4476094,40.43341603958648,-3.692224116529967
CS0258,Consulta médica,Privado No Benéfico,Privados,Cirugía plástica y reparadora,Madrid,CALLE,de Almagro,15,1ş,28010,441222,4475769,40.43048369650113,-3.6929603562985918
CS0259,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Alonso Núńez,1,BAJO-DCHA.,28039,440047,4478895,40.458560165041945,-3.7071070150839893
CS0260,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Andrea Jordán,1 ,,28021,441748,4467137,40.352758949647246,-3.6859700151637247
CS0263,Clínica dental,Privado No Benéfico,Privados,Cirugía maxilofacial,Madrid,CALLE,de Aranjuez,25,1şC ESC IZ,28039,439817,4477972,40.45022878600413,-3.7097320259075066
CS0264,Otros centros especializados,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,del Arroyo Belincoso,34,BAJO-A,28030,444686,4473447,40.409803376529204,-3.6519223285058198
CS0265,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Enfermería obstétrico-ginecológica (matrona),Madrid,PASEO,de los Artilleros,31,,28032,448347,4472958,40.405633365501004,-3.6087370436014274
CS0267,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Arturo Soria,337,1şB,28033,443605,4481500,40.482276280091256,-3.6653770462570643
CS0268,Otros centros especializados,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Ayala,58,BAJO ,28001,442172,4475433,40.427523428912245,-3.6817305707241603
CS0276,Centro Polivalente,Privado No Benéfico,Privados,Cirugía general y digestivo,Madrid,AVDA,de Betanzos,60 Semisótano,LOCAL ESTUDIO A,28034,439593,4481388,40.480985156198685,-3.712698642365976
CS0277,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Blasco de Garay,34,1şD,28015,439651,4476017,40.43260529496552,-3.7115037935195168
CS0280,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Bravo Murillo,30,1ş 109,28015,440288,4476483,40.43684920331646,-3.704038004077174
CS0281,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Bravo Murillo,187,1şC,28039,440377,4478373,40.453881517222605,-3.703166130554299
CS0283,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Bravo Murillo,271,2ş-B,28020,440709,4479034,40.459859831127744,-3.699312690513604
CS0284,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,AVDA,de Bruselas,46,ESC.DCHA 1şIZ,28028,443733,4476564,40.437819112288075,-3.6634293546006402
CS0287,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Enfermería,Madrid,CALLE,del Cabo Machichaco,62,,28053,443817,4469194,40.37143164306215,-3.6617884263953573
CS0288,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Camino de los Vinateros,55,1şA,28030,444573,4473554,40.41075977765843,-3.6532633679010633
CS0292,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Obtención de muestras,Madrid,CALLE,del Camino de los Vinateros,140,,28030,445218,4473045,40.406217103395335,-3.645618030755302
CS0293,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Enfermería obstétrico-ginecológica (matrona),Madrid,CALLE,de Pedroches,4,,28053,443136,4470060,40.37918691152704,-3.6698867733812848
CS0301,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Cartagena,32,1ş2,28028,443146,4476103,40.43362626764084,-3.6703088258930507
CS0302,Consulta médica,Privado No Benéfico,Privados,Urología,Madrid,PASEO,de la Castellana,45,1şIZDA.,28046,441502,4476351,40.435746365701185,-3.6897131051993615
CS0303,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PASEO,de la Castellana,123,ESCALERA IZQU,28046,441444,4478845,40.45820935661462,-3.690626836878098
CS0304,Consulta médica,Privado No Benéfico,Privados,Urología,Madrid,PASEO,de la Castellana,179,BAJO LOCAL,28046,441487,4479383,40.46305892004426,-3.6901693160994857
CS0308,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Ceuta,36,LC1 C/V AZUCENA,28039,440817,4479433,40.463461886495075,-3.698076172732596
CS0311,Otros centros especializados,Otros CESS Públicos de dependencia Autonómica,Comunidad Autónoma,Obtención de muestras,Madrid,PLAZA,DEL CENTRO CIVICO,S/N,,28037,447550,4475351,40.4271411812148,-3.6183265911569116
CS0312,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Concepción de la Oliva,23,LOCAL,28021,442161,4467287,40.35413898271576,-3.6811204894883685
CS0313,Consulta médica,Privado No Benéfico,Privados,Enfermería,Madrid,AVDA,de Concha Espina,18,1ş 4,28016,441904,4478106,40.45158440021743,-3.685134205333436
CS0314,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,PLAZA,del Conde de Casal,1,1şA,28007,443075,4473155,40.40706427241174,-3.670881989803636
CS0318,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Chile,15,BAJO-LOCAL,28016,442678,4478759,40.45752066508701,-3.676065880486425
CS0321,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,del Doctor Salgado,4,LOCAL,28038,443582,4472010,40.3967839759177,-3.6648057110531944
CS0323,Centro de diagnóstico,Privado No Benéfico,Privados,Medicina general/de familia,Madrid,CALLE,del Espańoleto,22,BAJO,28010,441110,4475844,40.43115140989177,-3.694287631475139
CS0329,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Federico Carlos Sáinz de Robles,11,1ş-A,28035,438835,4479633,40.465120015324594,-3.721471834854141
CS0330,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Psicología clínica,Madrid,CALLE,de Espronceda,24,,28003,440914,4476884,40.44050630360617,-3.6966949227396255
CS0332,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Félix López,2,LOCAL-2,28025,438142,4470723,40.384803790224986,-3.7287786610115874
CS0333,Otros proveedores de asistencia sanitaria sin internamiento,Privado No Benéfico,Privados,Fisioterapia,Madrid,CALLE,de Fernández de la Hoz,51,BAJO Y SEMISÓT.,28003,441086,4476671,40.438599707150985,-3.6946472272296544
CS0339,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Enfermería obstétrico-ginecológica (matrona),Madrid,CALLE,de Finisterre,18,,28029,440517,4481038,40.47789893033139,-3.701764981835619
CS0341,Otros centros especializados,Privado No Benéfico,Privados,Obtención de muestras,Madrid,CALLE,de Fucar,8,,28014,440974,4473716,40.41197172699273,-3.6956933842528814
CS0344,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,CALLE,de Fortuny,51,BAJO-DCHA.,28010,441452,4476202,40.43440058550744,-3.6902888560034555
CS0348,Consulta médica,Privado No Benéfico,Privados,Otras unidades asistenciales,Madrid,CALLE,de Gabriela Mistral,1,,28035,437656,4481805,40.484598445868436,-3.735591155337466
CS0350,Centro de salud,Servicios o Institutos de Salud de las CC.AA,Servicio Madrileńo de Salud,Medicina general/de familia,Madrid,CALLE,de Fuentidueńa,12,,28031,447180,4469208,40.3717776559011,-3.622178562770709
CS0352,Clínica dental,Privado No Benéfico,Privados,Implantación de tejidos,Madrid,CALLE,del General Arrando,5,"BAJO,INTERIOR",28010,440915,4475919,40.431813216050934,-3.696593408000406
CS0356,Clínica dental,Privado No Benéfico,Privados,Odontología/Estomatología,Madrid,AVDA,del General Fanjul,64,BAJO-A,28044,433864,4470426,40.381799703467,-3.779144720198376
